depth_km,grimm_lf_formula_S_m,preferred_with_lid_S_m
0.000000000000000000e+00,1.759999999999999954e-04,1.000000000000000683e-09
5.000000000000000000e+01,2.233140849325429968e-04,4.216965034285815233e-09
8.000000000000000000e+01,2.576073112452145807e-04,1.000003708939241164e-08
2.000000000000000000e+02,4.561697264634178802e-04,7.985049167865005868e-07
4.000000000000000000e+02,1.182334200805167795e-03,1.182244097467905538e-03
6.000000000000000000e+02,3.064460619145666781e-03,3.064460619145665480e-03
8.000000000000000000e+02,7.942694104509061270e-03,7.942694104509061270e-03
1.000000000000000000e+03,2.058645793770739335e-02,2.058645793770739682e-02
1.200000000000000000e+03,5.335749367212865024e-02,5.335577854290480398e-02
1.400000000000000000e+03,1.382958709840254874e-01,5.658135399871338372e-02
