r_m,depth_km,sigma_S_m,eps_r
1.737399999999906868e+03,1.735662600000000111e+03,2.981147896664855870e-02,8.000000000000000000e+00
5.099699689075490460e+04,1.686403003109244992e+03,2.493228131700006220e-02,8.000000000000000000e+00
9.885856406891485676e+04,1.638541435931085061e+03,2.095769326703751309e-02,8.000000000000000000e+00
1.453617788197330665e+05,1.592038221180266873e+03,1.770375472628269581e-02,8.000000000000000000e+00
1.905451923529934138e+05,1.546854807647006510e+03,1.502681652401067526e-02,8.000000000000000000e+00
2.344462617620003875e+05,1.502953738237999687e+03,1.281413382376729408e-02,8.000000000000000000e+00
2.771013810755447485e+05,1.460298618924455241e+03,1.097677722129803031e-02,8.000000000000000000e+00
3.185459114285893738e+05,1.418854088571410557e+03,9.444262455168418724e-03,8.000000000000000000e+00
3.588142103766838554e+05,1.378585789623316032e+03,8.160461276193622590e-03,8.000000000000000000e+00
3.979396603784107137e+05,1.339460339621589355e+03,7.080472319489543309e-03,8.000000000000000000e+00
4.359546964694762137e+05,1.301445303530523688e+03,6.168214965084399537e-03,8.000000000000000000e+00
4.728908331513863523e+05,1.264509166848613631e+03,5.394570373975995578e-03,8.000000000000000000e+00
5.087786905169980600e+05,1.228621309483002051e+03,4.735938632190211939e-03,8.000000000000000000e+00
5.436480196346063167e+05,1.193751980365393592e+03,4.173113815984371214e-03,8.000000000000000000e+00
5.775277272116085514e+05,1.159872272788391456e+03,3.690403072683989122e-03,8.000000000000000000e+00
6.104458995581923518e+05,1.126954100441807668e+03,3.274933829401885984e-03,8.000000000000000000e+00
6.424298258709136862e+05,1.094970174129086217e+03,2.916106674965601980e-03,8.000000000000000000e+00
6.735060208554700948e+05,1.063893979144529794e+03,2.605161521580418547e-03,8.000000000000000000e+00
7.037002467074071756e+05,1.033699753292592732e+03,2.334832222446237438e-03,8.000000000000000000e+00
7.330375344690179918e+05,1.004362465530982035e+03,2.099070541808539195e-03,8.000000000000000000e+00
7.615422047800915316e+05,9.758577952199084393e+02,1.892824715227534298e-03,8.000000000000000000e+00
7.892378880397487665e+05,9.481621119602511953e+02,1.711861146480878710e-03,8.000000000000000000e+00
8.161475439960669028e+05,9.212524560039330481e+02,1.552620319495745613e-03,8.000000000000000000e+00
8.422934807797317626e+05,8.951065192202681828e+02,1.412099949135681501e-03,8.000000000000000000e+00
8.676973733975002542e+05,8.697026266024997767e+02,1.287759895304994504e-03,8.000000000000000000e+00
8.923802817008016864e+05,8.450197182991983027e+02,1.177444526825285583e-03,8.000000000000000000e+00
9.163626678443744313e+05,8.210373321556255632e+02,1.079319124690807184e-03,8.000000000000000000e+00
9.396644132494126679e+05,7.977355867505873448e+02,9.692002567264907916e-04,8.000000000000000000e+00
9.623048350852831500e+05,7.750951649147168609e+02,7.088771695739927697e-04,8.000000000000000000e+00
9.843027022834770614e+05,7.530972977165229167e+02,5.230988753420364292e-04,8.000000000000000000e+00
1.005676251097072731e+06,7.317237489029272410e+02,3.893520748786661288e-04,8.000000000000000000e+00
1.026443200218607089e+06,7.109567997813928741e+02,2.922407667686334845e-04,8.000000000000000000e+00
1.046620765468888101e+06,6.907792345311119107e+02,2.211441254899924435e-04,8.000000000000000000e+00
1.066225674068927299e+06,6.711743259310726444e+02,1.686731500219652987e-04,8.000000000000000000e+00
1.085274178506822558e+06,6.521258214931774546e+02,1.296447483201628283e-04,8.000000000000000000e+00
