r_m,depth_km,sigma_S_m,eps_r
6.371000000000000000e+03,6.364628999999999905e+03,9.945523086725253847e+01,1.000000000000000000e+01
3.312633943217918277e+05,6.039736605678208434e+03,7.527441773551858262e+01,1.000000000000000000e+01
6.395711506563397124e+05,5.731428849343660659e+03,5.778868388674720791e+01,1.000000000000000000e+01
9.321408576649036258e+05,5.438859142335096294e+03,4.496748331008898703e+01,1.000000000000000000e+01
1.209775888572791591e+06,5.161224111427208300e+03,3.544178510204299215e+01,1.000000000000000000e+01
1.473238607168482617e+06,4.897761392831517696e+03,2.827547696863008753e+01,1.000000000000000000e+01
1.723252461194206029e+06,4.647747538805793738e+03,2.281982170118862285e+01,1.000000000000000000e+01
1.960503968876091763e+06,4.410496031123908324e+03,1.861945096202328287e+01,1.000000000000000000e+01
2.185644604048798326e+06,4.185355395951201899e+03,1.535080736143614644e+01,1.000000000000000000e+01
2.399292585051027127e+06,3.971707414948972655e+03,1.278130192380674579e+01,1.000000000000000000e+01
2.602034572304079309e+06,3.768965427695920880e+03,1.074187347494592437e+01,1.000000000000000000e+01
2.794427279234861024e+06,3.576572720765138911e+03,9.108329523103469327e+00,1.000000000000000000e+01
2.976999000966859516e+06,3.394000999033140488e+03,7.788511713433474704e+00,1.000000000000000000e+01
3.150251064976630732e+06,3.220748935023369086e+03,6.713369988575903058e+00,1.000000000000000000e+01
3.314659207699344028e+06,3.056340792300656176e+03,5.830689307164166557e+00,1.000000000000000000e+01
3.470674880863315891e+06,2.900325119136683952e+03,5.100635895449126878e+00,1.000000000000000000e+01
3.618726491140672937e+06,2.752273508859327194e+03,4.492564537637662170e+00,1.000000000000000000e+01
3.759220576518117450e+06,2.611779423481882532e+03,3.982708518657783081e+00,1.000000000000000000e+01
3.892542922618007753e+06,2.478457077381992349e+03,3.552493261785038658e+00,1.000000000000000000e+01
4.019059622035120148e+06,2.351940377964879644e+03,3.187294712634804572e+00,1.000000000000000000e+01
4.139118079597866163e+06,2.231881920402133801e+03,2.875517653171962174e+00,1.000000000000000000e+01
4.253047966314433143e+06,2.117952033685566676e+03,2.607906103310584811e+00,1.000000000000000000e+01
4.361162124623239972e+06,2.009837875376759939e+03,2.377023453944203890e+00,1.000000000000000000e+01
4.463757427433472127e+06,1.907242572566527770e+03,2.176857698390531226e+00,1.000000000000000000e+01
4.561115593314563856e+06,1.809884406685436034e+03,2.002519558893399054e+00,1.000000000000000000e+01
4.653503960073049180e+06,1.717496039926950743e+03,1.850010093595320093e+00,1.000000000000000000e+01
4.741176218841010705e+06,1.629823781158989277e+03,1.716040632937836374e+00,1.000000000000000000e+01
4.824373110691791400e+06,1.546626889308208547e+03,1.597892392386160987e+00,1.000000000000000000e+01
4.903323087695920840e+06,1.467676912304079224e+03,1.493306362185034208e+00,1.000000000000000000e+01
4.978242940232384019e+06,1.392757059767616056e+03,1.400396445381994370e+00,1.000000000000000000e+01
5.049338392277819104e+06,1.321661607722180861e+03,1.317580554221300826e+00,1.000000000000000000e+01
5.116804666308254004e+06,1.254195333691746100e+03,1.243525658980117354e+00,1.000000000000000000e+01
5.180827019364549778e+06,1.190172980635450131e+03,1.177103737458092603e+00,1.000000000000000000e+01
5.241581251753546298e+06,1.129418748246453788e+03,1.117356286753200756e+00,1.000000000000000000e+01
5.299234189781782217e+06,1.071765810218217894e+03,1.063465595579129674e+00,1.000000000000000000e+01
5.353944143847296014e+06,1.017055856152703996e+03,1.014731381349861739e+00,1.000000000000000000e+01
5.405861343147437088e+06,9.651386568525629173e+02,8.747778168909806640e-01,1.000000000000000000e+01
5.455128348196333274e+06,9.158716518036667367e+02,7.240792238142235160e-01,1.000000000000000000e+01
5.501880442284763791e+06,8.691195577152361693e+02,6.051540296156362464e-01,1.000000000000000000e+01
5.546246002957350574e+06,8.247539970426494165e+02,5.104148819110900792e-01,1.000000000000000000e+01
5.588346854527119547e+06,7.826531454728803965e+02,4.342654140303336963e-01,1.000000000000000000e+01
5.628298602595414966e+06,7.427013974045850091e+02,3.725366420898106323e-01,1.000000000000000000e+01
5.666210951495707966e+06,7.047890485042920545e+02,3.220933419313321000e-01,1.000000000000000000e+01
5.702188005533003248e+06,6.688119944669967936e+02,2.805562776347630960e-01,1.000000000000000000e+01
5.736328554846014827e+06,6.346714451539851325e+02,2.461042282466183728e-01,1.000000000000000000e+01
5.768726346677047201e+06,6.022736533229527822e+02,2.173315390673860037e-01,1.000000000000000000e+01
5.799470342794500291e+06,5.715296572054996886e+02,1.931446851688375099e-01,1.000000000000000000e+01
5.828644963774828240e+06,5.423550362251717161e+02,1.726865025332240400e-01,1.000000000000000000e+01
5.856330320814756677e+06,5.146696791852433535e+02,1.552802179580846098e-01,1.000000000000000000e+01
5.882602435710270889e+06,4.883975642897291323e+02,1.403877694529775122e-01,1.000000000000000000e+01
5.907533449606450275e+06,4.634665503935497100e+02,1.275785271281301425e-01,1.000000000000000000e+01
5.931191821091326885e+06,4.398081789086731419e+02,1.165056440032399693e-01,1.000000000000000000e+01
5.953642514177750796e+06,4.173574858222492026e+02,1.068880472671427662e-01,1.000000000000000000e+01
5.974947176689408720e+06,3.960528233105912932e+02,9.701586145660517913e-02,1.000000000000000000e+01
5.995164309540873393e+06,3.758356904591266243e+02,8.307154763892692084e-02,1.000000000000000000e+01
6.014349427376468666e+06,3.566505726235313318e+02,7.169715266977869095e-02,1.000000000000000000e+01
6.032555211009088904e+06,3.384447889909110927e+02,6.234705775068167394e-02,1.000000000000000000e+01
6.049831652077530511e+06,3.211683479224694793e+02,5.460442351470629757e-02,1.000000000000000000e+01
6.066226190319571644e+06,3.047738096804283714e+02,4.814812347549912025e-02,1.000000000000000000e+01
6.081783843837734312e+06,2.892161561622656905e+02,4.272878271574135495e-02,1.000000000000000000e+01
6.096547332715421915e+06,2.744526672845780695e+02,3.815126045887468759e-02,1.000000000000000000e+01
6.110557196322882548e+06,2.604428036771174675e+02,3.426173451973273110e-02,1.000000000000000000e+01
6.123851904635109007e+06,2.471480953648909917e+02,3.093810087903445596e-02,1.000000000000000000e+01
6.136467963867339306e+06,2.345320361326606928e+02,2.808278146925068108e-02,1.000000000000000000e+01
6.148440016718229279e+06,2.225599832817707124e+02,2.561729547862910683e-02,1.000000000000000000e+01
6.159800937495958060e+06,2.111990625040419332e+02,2.347813209057618422e-02,1.000000000000000000e+01
6.170581922388471663e+06,2.004180776115283322e+02,2.161359082270782050e-02,1.000000000000000000e+01
6.180812575125745498e+06,1.901874248742545035e+02,1.998134643250182307e-02,1.000000000000000000e+01
6.190520988269275986e+06,1.804790117307240109e+02,1.854656015297944174e-02,1.000000000000000000e+01
6.199733820352029055e+06,1.712661796479709437e+02,1.728040561114404031e-02,1.000000000000000000e+01
6.208476369080662727e+06,1.625236309193372790e+02,1.615891152518774548e-02,1.000000000000000000e+01
6.216772640801019035e+06,1.542273591989809631e+02,1.516204788834225881e-02,1.000000000000000000e+01
6.224645416417647153e+06,1.463545835823528591e+02,1.427300042117704212e-02,1.000000000000000000e+01
6.232116313948365860e+06,1.388836860516341289e+02,1.347759143428753706e-02,1.000000000000000000e+01
6.239205847885622643e+06,1.317941521143773684e+02,1.276381518186714588e-02,1.000000000000000000e+01
6.245933485527668148e+06,1.250665144723318463e+02,1.212146322535138238e-02,1.000000000000000000e+01
6.252317700434207916e+06,1.186822995657920785e+02,1.154182092705230943e-02,1.000000000000000000e+01
6.258376023153339513e+06,1.126239768466604829e+02,1.101742043481954494e-02,1.000000000000000000e+01
6.264125089359045029e+06,1.068749106409549654e+02,1.054183874819523969e-02,1.000000000000000000e+01
6.269580685531432740e+06,1.014193144685672650e+02,1.010953192882502703e-02,1.000000000000000000e+01
6.274757792305161245e+06,9.624220769483875415e+01,9.083364711795756039e-03,1.000000000000000000e+01
6.279670625605074689e+06,9.132937439492530984e+01,8.010501673738058132e-03,1.000000000000000000e+01
6.284332675682004541e+06,8.666732431799546532e+01,7.109829057983397399e-03,1.000000000000000000e+01
6.288756744155930355e+06,8.224325584406965106e+01,6.348963680928854103e-03,1.000000000000000000e+01
6.292954979168214835e+06,7.804502083178516614e+01,5.702375170717893793e-03,1.000000000000000000e+01
6.296938908739432693e+06,7.406109126056730929e+01,5.149794545232026267e-03,1.000000000000000000e+01
6.300719472424406558e+06,7.028052757559343888e+01,4.675021793172056371e-03,1.000000000000000000e+01
6.304307051351353526e+06,6.669294864864647820e+01,4.265025692026164217e-03,1.000000000000000000e+01
6.307711496727641672e+06,6.328850327235832651e+01,3.909259325143166729e-03,1.000000000000000000e+01
6.310942156890425831e+06,6.005784310957417205e+01,3.599135993296379444e-03,1.000000000000000000e+01
6.314007902976438403e+06,5.699209702356159823e+01,3.327625252383316357e-03,1.000000000000000000e+01
6.316917153281428851e+06,5.408284671857114745e+01,3.088939540509141966e-03,1.000000000000000000e+01
6.319677896376138553e+06,5.132210362386144453e+01,2.878289575058633545e-03,1.000000000000000000e+01
6.322297713042276911e+06,4.870228695772308924e+01,2.691692290676992762e-03,1.000000000000000000e+01
6.324783797088753432e+06,4.621620291124656887e+01,2.525819167178711307e-03,1.000000000000000000e+01
6.327142975105303340e+06,4.385702489469665721e+01,2.377875791623827034e-03,1.000000000000000000e+01
