r_m,depth_km,sigma_S_m,eps_r
1.737399999999906868e+03,1.735662600000000111e+03,9.999999999999999547e-08,5.500000000000000000e+00
1.226280066397676710e+05,1.614771993360232273e+03,9.999999999999999547e-08,5.500000000000000000e+00
2.350984636642029509e+05,1.502301536335796982e+03,9.999999999999999547e-08,5.500000000000000000e+00
3.397352427729328629e+05,1.397664757227067184e+03,9.999999999999999547e-08,5.500000000000000000e+00
4.370839673350676894e+05,1.300316032664932209e+03,9.999999999999999547e-08,5.500000000000000000e+00
5.276522575155871455e+05,1.209747742484412811e+03,9.999999999999999547e-08,5.500000000000000000e+00
6.119123772358747665e+05,1.125487622764125263e+03,9.999999999999999547e-08,5.500000000000000000e+00
6.903036967708449811e+05,1.047096303229154955e+03,9.999999999999999547e-08,5.500000000000000000e+00
7.632349838237704244e+05,9.741650161762295284e+02,9.999999999999999547e-08,5.500000000000000000e+00
8.310865350254727527e+05,9.063134649745272782e+02,9.999999999999999547e-08,5.500000000000000000e+00
8.942121589725216618e+05,8.431878410274783846e+02,9.999999999999999547e-08,5.500000000000000000e+00
9.529410211448613554e+05,7.844589788551386391e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.007579360323113855e+06,7.298206396768861168e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.058412085455728695e+06,6.789879145442713479e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.105704261302765459e+06,6.316957386972345603e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.149702490603127517e+06,5.876975093968725332e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.190636199972486589e+06,5.467638000275134118e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.228718836237155134e+06,5.086811637628448466e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.264148979442125652e+06,4.732510205578743694e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.297111378337008180e+06,4.402886216629918295e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.327777913739352254e+06,4.096220862606477340e+02,9.999999999999999547e-08,5.500000000000000000e+00
