r_m,depth_km,sigma_S_m,eps_r
1.737399999999906868e+03,1.735662600000000111e+03,4.999999999999999584e-02,5.500000000000000000e+00
6.087431578947231174e+03,1.731312568421052674e+03,4.999999999999999584e-02,5.500000000000000000e+00
1.043746315789455548e+04,1.726962536842105465e+03,4.999999999999999584e-02,5.500000000000000000e+00
1.478749473684187979e+04,1.722612505263158027e+03,4.999999999999999584e-02,5.500000000000000000e+00
1.913752631578943692e+04,1.718262473684210590e+03,4.999999999999999584e-02,5.500000000000000000e+00
2.348755789473676123e+04,1.713912442105263153e+03,4.999999999999999584e-02,5.500000000000000000e+00
2.783758947368408553e+04,1.709562410526315944e+03,4.999999999999999584e-02,5.500000000000000000e+00
3.218762105263140984e+04,1.705212378947368506e+03,4.999999999999999584e-02,5.500000000000000000e+00
3.653765263157896698e+04,1.700862347368421069e+03,4.999999999999999584e-02,5.500000000000000000e+00
4.088768421052605845e+04,1.696512315789473860e+03,4.944181793671848651e-02,5.500000000000000000e+00
4.523771578947361559e+04,1.692162284210526423e+03,4.875434743157035927e-02,5.500000000000000000e+00
4.958774736842093989e+04,1.687812252631578986e+03,4.807643595388463864e-02,5.500000000000000000e+00
5.393777894736826420e+04,1.683462221052631776e+03,4.740795058885942381e-02,5.500000000000000000e+00
5.828781052631558850e+04,1.679112189473684339e+03,4.674876026982475313e-02,5.500000000000000000e+00
6.263784210526314564e+04,1.674762157894736902e+03,4.609873575254504890e-02,5.500000000000000000e+00
6.698787368421046995e+04,1.670412126315789465e+03,4.545774958987899156e-02,5.500000000000000000e+00
7.133790526315779425e+04,1.666062094736842255e+03,4.482567610679127901e-02,5.500000000000000000e+00
7.568793684210511856e+04,1.661712063157894818e+03,4.420239137571234378e-02,5.500000000000000000e+00
8.003796842105267569e+04,1.657362031578947381e+03,4.358777319224037966e-02,5.500000000000000000e+00
8.438799999999976717e+04,1.653012000000000171e+03,4.298170105118152146e-02,5.500000000000000000e+00
8.873803157894732431e+04,1.648661968421052734e+03,4.238405612292257818e-02,5.500000000000000000e+00
9.308806315789464861e+04,1.644311936842105297e+03,4.179472123013313473e-02,5.500000000000000000e+00
9.743809473684197292e+04,1.639961905263158087e+03,4.121358082479085333e-02,5.500000000000000000e+00
1.017881263157892972e+05,1.635611873684210650e+03,4.064052096552665111e-02,5.500000000000000000e+00
1.061381578947368544e+05,1.631261842105263213e+03,4.007542929528479930e-02,5.500000000000000000e+00
1.104881894736839458e+05,1.626911810526316003e+03,3.951819501929360740e-02,5.500000000000000000e+00
1.148382210526315030e+05,1.622561778947368566e+03,3.896870888334229288e-02,5.500000000000000000e+00
1.191882526315788273e+05,1.618211747368421129e+03,3.842686315236026190e-02,5.500000000000000000e+00
1.235382842105263844e+05,1.613861715789473692e+03,3.789255158929388800e-02,5.500000000000000000e+00
1.278883157894734759e+05,1.609511684210526482e+03,3.736566943427716697e-02,5.500000000000000000e+00
1.322383473684210330e+05,1.605161652631579045e+03,3.684611338409191778e-02,5.500000000000000000e+00
1.365883789473683573e+05,1.600811621052631608e+03,3.633378157191365088e-02,5.500000000000000000e+00
1.409384105263156816e+05,1.596461589473684398e+03,3.582857354733911398e-02,5.500000000000000000e+00
1.452884421052630059e+05,1.592111557894736961e+03,3.533039025669124783e-02,5.500000000000000000e+00
1.496384736842105631e+05,1.587761526315789524e+03,3.483913402359855443e-02,5.500000000000000000e+00
1.539885052631576546e+05,1.583411494736842315e+03,3.435470852984383316e-02,5.500000000000000000e+00
1.583385368421052117e+05,1.579061463157894877e+03,3.387701879647973119e-02,5.500000000000000000e+00
1.626885684210525360e+05,1.574711431578947440e+03,3.340597116520658411e-02,5.500000000000000000e+00
1.670386000000000931e+05,1.570361400000000003e+03,3.294147328000944508e-02,5.500000000000000000e+00
1.713886315789471846e+05,1.566011368421052794e+03,3.248343406905008363e-02,5.500000000000000000e+00
1.757386631578947417e+05,1.561661336842105356e+03,3.203176372681110218e-02,5.500000000000000000e+00
1.800886947368420660e+05,1.557311305263157919e+03,3.158637369648814586e-02,5.500000000000000000e+00
1.844387263157893904e+05,1.552961273684210710e+03,3.114717665262714194e-02,5.500000000000000000e+00
1.887887578947367147e+05,1.548611242105263273e+03,3.071408648400255487e-02,5.500000000000000000e+00
1.931387894736842718e+05,1.544261210526315836e+03,3.028701827673424204e-02,5.500000000000000000e+00
1.974888210526313633e+05,1.539911178947368626e+03,2.986588829763870551e-02,5.500000000000000000e+00
2.018388526315789204e+05,1.535561147368421189e+03,2.945061397781182505e-02,5.500000000000000000e+00
2.061888842105262447e+05,1.531211115789473752e+03,2.904111389644016897e-02,5.500000000000000000e+00
2.105389157894738019e+05,1.526861084210526087e+03,2.863730776483708676e-02,5.500000000000000000e+00
2.148889473684208933e+05,1.522511052631579105e+03,2.823911641070096443e-02,5.500000000000000000e+00
2.192389789473682176e+05,1.518161021052631895e+03,2.784646176259216593e-02,5.500000000000000000e+00
2.235890105263157748e+05,1.513810989473684231e+03,2.745926683462613510e-02,5.500000000000000000e+00
2.279390421052628662e+05,1.509460957894737021e+03,2.707745571137903581e-02,5.500000000000000000e+00
2.322890736842104234e+05,1.505110926315789584e+03,2.670095353300338051e-02,5.500000000000000000e+00
2.366391052631577477e+05,1.500760894736842147e+03,2.632968648055063893e-02,5.500000000000000000e+00
2.409891368421050720e+05,1.496410863157894937e+03,2.596358176149797178e-02,5.500000000000000000e+00
2.453391684210523963e+05,1.492060831578947500e+03,2.560256759547605704e-02,5.500000000000000000e+00
2.496891999999999534e+05,1.487710800000000063e+03,2.524657320019556284e-02,5.500000000000000000e+00
2.540392315789472777e+05,1.483360768421052626e+03,2.489552877756910643e-02,5.500000000000000000e+00
2.583892631578946020e+05,1.479010736842105416e+03,2.454936550002639190e-02,5.500000000000000000e+00
2.627392947368419264e+05,1.474660705263157979e+03,2.420801549701941807e-02,5.500000000000000000e+00
2.670893263157894835e+05,1.470310673684210542e+03,2.387141184171552230e-02,5.500000000000000000e+00
2.714393578947365750e+05,1.465960642105263332e+03,2.353948853787529369e-02,5.500000000000000000e+00
2.757893894736841321e+05,1.461610610526315895e+03,2.321218050691303825e-02,5.500000000000000000e+00
2.801394210526314564e+05,1.457260578947368458e+03,2.288942357513715567e-02,5.500000000000000000e+00
2.844894526315787807e+05,1.452910547368421248e+03,2.257115446116791588e-02,5.500000000000000000e+00
2.888394842105261050e+05,1.448560515789473811e+03,2.225731076353009569e-02,5.500000000000000000e+00
2.931895157894736622e+05,1.444210484210526374e+03,2.194783094841837659e-02,5.500000000000000000e+00
2.975395473684209865e+05,1.439860452631578937e+03,2.164265433763260318e-02,5.500000000000000000e+00
3.018895789473683108e+05,1.435510421052631727e+03,2.134172109668096631e-02,5.500000000000000000e+00
3.062396105263156351e+05,1.431160389473684290e+03,2.104497222304843596e-02,5.500000000000000000e+00
3.105896421052631922e+05,1.426810357894736853e+03,2.075234953462858425e-02,5.500000000000000000e+00
3.149396736842102837e+05,1.422460326315789644e+03,2.046379565831600925e-02,5.500000000000000000e+00
3.192897052631578408e+05,1.418110294736842206e+03,2.017925401875743027e-02,5.500000000000000000e+00
3.236397368421051651e+05,1.413760263157894769e+03,1.989866882725934566e-02,5.500000000000000000e+00
3.279897684210524894e+05,1.409410231578947560e+03,1.962198507084974772e-02,5.500000000000000000e+00
3.323397999999998137e+05,1.405060200000000123e+03,1.934914850149197993e-02,5.500000000000000000e+00
3.366898315789473709e+05,1.400710168421052686e+03,1.908010562544860955e-02,5.500000000000000000e+00
3.410398631578946952e+05,1.396360136842105248e+03,1.881480369279324091e-02,5.500000000000000000e+00
3.453898947368420195e+05,1.392010105263158039e+03,1.855319068706795874e-02,5.500000000000000000e+00
3.497399263157893438e+05,1.387660073684210602e+03,1.829521531508480903e-02,5.500000000000000000e+00
3.540899578947369009e+05,1.383310042105263165e+03,1.804082699686897565e-02,5.500000000000000000e+00
3.584399894736839924e+05,1.378960010526315955e+03,1.778997585574182763e-02,5.500000000000000000e+00
3.627900210526315495e+05,1.374609978947368518e+03,1.754261270854174867e-02,5.500000000000000000e+00
3.671400526315788738e+05,1.370259947368421081e+03,1.729868905598117707e-02,5.500000000000000000e+00
3.714900842105261981e+05,1.365909915789473871e+03,1.705815707313750040e-02,5.500000000000000000e+00
3.758401157894735225e+05,1.361559884210526434e+03,1.682096960007622294e-02,5.500000000000000000e+00
3.801901473684210796e+05,1.357209852631578997e+03,1.658708013260464659e-02,5.500000000000000000e+00
