r_m,depth_km,sigma_S_m,eps_r
1.737399999999906868e+03,1.735662600000000111e+03,2.981147896664856477e-03,8.000000000000000000e+00
5.099699689075490460e+04,1.686403003109244992e+03,2.493228131700006046e-03,8.000000000000000000e+00
9.885856406891485676e+04,1.638541435931085061e+03,2.095769326703751656e-03,8.000000000000000000e+00
1.453617788197330665e+05,1.592038221180266873e+03,1.770375472628270535e-03,8.000000000000000000e+00
1.905451923529934138e+05,1.546854807647006510e+03,1.502681652401067049e-03,8.000000000000000000e+00
2.344462617620003875e+05,1.502953738237999687e+03,1.281413382376728064e-03,8.000000000000000000e+00
2.771013810755447485e+05,1.460298618924455241e+03,1.097677722129802814e-03,8.000000000000000000e+00
3.185459114285893738e+05,1.418854088571410557e+03,9.444262455168416122e-04,8.000000000000000000e+00
3.588142103766838554e+05,1.378585789623316032e+03,8.160461276193627361e-04,8.000000000000000000e+00
3.979396603784107137e+05,1.339460339621589355e+03,7.080472319489547863e-04,8.000000000000000000e+00
4.359546964694762137e+05,1.301445303530523688e+03,6.168214965084404091e-04,8.000000000000000000e+00
4.728908331513863523e+05,1.264509166848613631e+03,5.394570373975999047e-04,8.000000000000000000e+00
5.087786905169980600e+05,1.228621309483002051e+03,4.735938632190215083e-04,8.000000000000000000e+00
5.436480196346063167e+05,1.193751980365393592e+03,4.173113815984373816e-04,8.000000000000000000e+00
5.775277272116085514e+05,1.159872272788391456e+03,3.690403072683988255e-04,8.000000000000000000e+00
6.104458995581923518e+05,1.126954100441807668e+03,3.274933829401885008e-04,8.000000000000000000e+00
6.424298258709136862e+05,1.094970174129086217e+03,2.916106674965603931e-04,8.000000000000000000e+00
6.735060208554700948e+05,1.063893979144529794e+03,2.605161521580419957e-04,8.000000000000000000e+00
7.037002467074071756e+05,1.033699753292592732e+03,2.334832222446238956e-04,8.000000000000000000e+00
7.330375344690179918e+05,1.004362465530982035e+03,2.099070541808542285e-04,8.000000000000000000e+00
7.615422047800915316e+05,9.758577952199084393e+02,1.892824715227535762e-04,8.000000000000000000e+00
7.892378880397487665e+05,9.481621119602511953e+02,1.711861146480879903e-04,8.000000000000000000e+00
8.161475439960669028e+05,9.212524560039330481e+02,1.552620319495745288e-04,8.000000000000000000e+00
8.422934807797317626e+05,8.951065192202681828e+02,1.412099949135682477e-04,8.000000000000000000e+00
8.676973733975002542e+05,8.697026266024997767e+02,1.287759895304996401e-04,8.000000000000000000e+00
8.923802817008016864e+05,8.450197182991983027e+02,1.177444526825285366e-04,8.000000000000000000e+00
9.163626678443744313e+05,8.210373321556255632e+02,1.079319124690807970e-04,8.000000000000000000e+00
9.396644132494126679e+05,7.977355867505873448e+02,9.740344554986555907e-05,8.000000000000000000e+00
9.623048350852831500e+05,7.750951649147168609e+02,7.487489766326200255e-05,8.000000000000000000e+00
9.843027022834770614e+05,7.530972977165229167e+02,5.798829487006306024e-05,8.000000000000000000e+00
1.005676251097072731e+06,7.317237489029272410e+02,4.523708319116210327e-05,8.000000000000000000e+00
1.026443200218607089e+06,7.109567997813928741e+02,3.553936023214587721e-05,8.000000000000000000e+00
1.046620765468888101e+06,6.907792345311119107e+02,2.811243760330755481e-05,8.000000000000000000e+00
1.066225674068927299e+06,6.711743259310726444e+02,2.238602013713473937e-05,8.000000000000000000e+00
1.085274178506822558e+06,6.521258214931774546e+02,1.794166552491409887e-05,8.000000000000000000e+00
1.103782070011084899e+06,6.336179299889150798e+02,1.447026297882448444e-05,8.000000000000000000e+00
1.121764691641584039e+06,6.156353083584159549e+02,1.174195674400613271e-05,8.000000000000000000e+00
1.139236951008959673e+06,5.981630489910403412e+02,9.584725788673896719e-06,8.000000000000000000e+00
1.156213332633039914e+06,5.811866673669601369e+02,7.869026137165291502e-06,8.000000000000000000e+00
1.172707909950530855e+06,5.646920900494691296e+02,6.496708049445045367e-06,8.000000000000000000e+00
1.188734356981903547e+06,5.486656430180964890e+02,5.392967283248937776e-06,8.000000000000000000e+00
1.204305959667170886e+06,5.330940403328290813e+02,4.500463613271198328e-06,8.000000000000000000e+00
1.219435626879945397e+06,5.179643731200545744e+02,3.774997106351075409e-06,8.000000000000000000e+00
1.234135901128907222e+06,5.032640988710927559e+02,3.182310883977086591e-06,8.000000000000000000e+00
1.248418968955556862e+06,4.889810310444431138e+02,2.695713339349469361e-06,8.000000000000000000e+00
1.262296671036868589e+06,4.751033289631313892e+02,2.294299911976286355e-06,8.000000000000000000e+00
1.275780512001223862e+06,4.616194879987761510e+02,1.961616007754636614e-06,8.000000000000000000e+00
1.288881669965759385e+06,4.485183300342405914e+02,1.684646294249407307e-06,8.000000000000000000e+00
1.301611005803036038e+06,4.357889941969639835e+02,1.453046756386068396e-06,8.000000000000000000e+00
1.313979072144714417e+06,4.234209278552855835e+02,1.258558264736335393e-06,8.000000000000000000e+00
1.325996122129694559e+06,4.114038778703054504e+02,1.094556554430895635e-06,8.000000000000000000e+00
1.337672117903979495e+06,3.997278820960204939e+02,9.557052303864665455e-07,8.000000000000000000e+00
1.349016738879303448e+06,3.883832611206965453e+02,8.376869630577841379e-07,8.000000000000000000e+00
1.360039389757372905e+06,3.773606102426271036e+02,7.369943073614726770e-07,8.000000000000000000e+00
1.370749208326374181e+06,3.666507916736258039e+02,6.507661969011585263e-07,8.000000000000000000e+00
1.381155073036208283e+06,3.562449269637917268e+02,5.766595865452065841e-07,8.000000000000000000e+00
1.391265610358735081e+06,3.461343896412649315e+02,5.127482618305172081e-07,8.000000000000000000e+00
1.401089201939124148e+06,3.363107980608758680e+02,4.574427364775240592e-07,8.000000000000000000e+00
1.410633991544250399e+06,3.267660084557496134e+02,4.094265882114092511e-07,8.000000000000000000e+00
1.419907891813883092e+06,3.174921081861169228e+02,3.676056608942954010e-07,8.000000000000000000e+00
1.428918590820270590e+06,3.084814091797293827e+02,3.310673774871359803e-07,8.000000000000000000e+00
1.437673558441561414e+06,2.997264415584385802e+02,2.990182006412205331e-07,4.000000000000000000e+00
1.446180052554339403e+06,2.912199474456605799e+02,2.700404405113163713e-07,4.000000000000000000e+00
