r_m,depth_km,sigma_S_m,eps_r
1.737399999999906868e+03,1.735662600000000111e+03,5.999999999999999778e-02,6.500000000000000000e+00
5.215681763526983559e+03,1.732184318236473018e+03,5.999999999999999778e-02,6.500000000000000000e+00
8.693963527053827420e+03,1.728706036472946153e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.217224529058090411e+04,1.725227754709419060e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.565052705410798080e+04,1.721749472945891966e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.912880881763505749e+04,1.718271191182364873e+03,5.999999999999999778e-02,6.500000000000000000e+00
2.260709058116213419e+04,1.714792909418837780e+03,5.999999999999999778e-02,6.500000000000000000e+00
2.608537234468921088e+04,1.711314627655310687e+03,5.999999999999999778e-02,6.500000000000000000e+00
2.956365410821628757e+04,1.707836345891783822e+03,5.999999999999999778e-02,6.500000000000000000e+00
3.304193587174336426e+04,1.704358064128256729e+03,5.999999999999999778e-02,6.500000000000000000e+00
3.652021763527044095e+04,1.700879782364729635e+03,5.999999999999999778e-02,6.500000000000000000e+00
3.999849939879751764e+04,1.697401500601202542e+03,5.999999999999999778e-02,6.500000000000000000e+00
4.347678116232459433e+04,1.693923218837675449e+03,5.999999999999999778e-02,6.500000000000000000e+00
4.695506292585167103e+04,1.690444937074148356e+03,5.999999999999999778e-02,6.500000000000000000e+00
5.043334468937851489e+04,1.686966655310621491e+03,5.999999999999999778e-02,6.500000000000000000e+00
5.391162645290559158e+04,1.683488373547094398e+03,5.999999999999999778e-02,6.500000000000000000e+00
5.738990821643266827e+04,1.680010091783567304e+03,5.999999999999999778e-02,6.500000000000000000e+00
6.086818997995974496e+04,1.676531810020040211e+03,5.999999999999999778e-02,6.500000000000000000e+00
6.434647174348682165e+04,1.673053528256513118e+03,5.999999999999999778e-02,6.500000000000000000e+00
6.782475350701389834e+04,1.669575246492986025e+03,5.999999999999999778e-02,6.500000000000000000e+00
7.130303527054074220e+04,1.666096964729459160e+03,5.999999999999999778e-02,6.500000000000000000e+00
