distance_m,voltage_v,input_w,conductor_mm2,total_copper_kg,load_w,loss_w
1000,3000,10000,0.7662222222222221,13.730702222222222,9500.0,500.0
1000,10000,10000,0.06896000000000001,1.2357632,9500.0,500.0
1000,100000,10000,0.0006896,0.012357631999999999,9500.0,500.0
4000,3000,10000,3.0648888888888886,219.69123555555555,9500.0,500.0
4000,10000,10000,0.27584000000000003,19.7722112,9500.0,500.0
4000,100000,10000,0.0027584,0.19772211199999998,9500.0,500.0
10000,3000,10000,7.662222222222224,1373.0702222222226,9500.0,500.0
10000,10000,10000,0.6896,123.57632000000001,9500.0,500.0
10000,100000,10000,0.006896000000000001,1.2357632,9500.0,500.0
100000,3000,10000,76.62222222222223,137307.02222222224,9500.0,500.0
100000,10000,10000,6.896000000000001,12357.632000000001,9500.0,500.0
100000,100000,10000,0.06896000000000001,123.57632000000001,9500.0,500.0
5000000.0,3000,10000,3831.1111111111113,343267555.5555555,9500.0,500.0
5000000.0,10000,10000,344.79999999999995,30894080.0,9500.0,500.0
5000000.0,100000,10000,3.448,308940.8,9500.0,500.0
