f_hz,distance_m,input_w,tx_radius_m,rx_radius_m,tx_wire_mm2,rx_wire_mm2,tx_copper_kg,rx_copper_kg,mutual_h,coupling_figure_x,load_ohm,tx_current_rms_a,rx_current_rms_a,rx_induced_emf_at_loaded_tx_current_rms_v,rx_open_circuit_at_fixed_input_rms_v,load_w,coil_efficiency,tx_heat_w,rx_heat_w,energy_balance_error_w,rx_field_rms_t,tx_radiation_resistance_ohm,tx_radiated_w,tx_q,required_r_each_for_50pct_ohm,ka_tx,kr
1,1000,100,10,1,0.5,0.5,0.2814867017616454,0.028148670176164545,9.869604401089359e-14,8.193415449993744e-25,0.21664422939155217,6.79401399665504,9.723641305459583e-12,4.213141555002315e-12,4.213141555002315e-12,2.0483538624984362e-23,2.048353862498436e-25,100.0,2.0483538624984362e-23,-2.0483538624984362e-23,2.1344024460277705e-13,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,2.1924748499986315e-13,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,1,0.5,0.5,0.2814867017616454,0.028148670176164545,3.655409037440504e-15,1.1239253017824067e-27,0.21664422939155217,6.79401399665504,3.601348631651697e-13,1.5604227981490057e-13,1.5604227981490057e-13,2.809813254456017e-26,2.8098132544560168e-28,100.0,2.809813254456017e-26,-2.809813254456017e-26,7.905194244547299e-15,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,8.120277222217155e-15,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,1,0.5,0.5,0.2814867017616454,0.028148670176164545,9.86960440108936e-17,8.193415449993744e-31,0.21664422939155217,6.79401399665504,9.723641305459583e-15,4.2131415550023155e-15,4.2131415550023155e-15,2.0483538624984362e-29,2.048353862498436e-31,100.0,2.0483538624984362e-29,-2.0483538624984362e-29,2.1344024460277706e-16,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,2.1924748499986318e-16,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,1,0.5,0.5,0.2814867017616454,0.028148670176164545,3.6554090374405034e-18,1.1239253017824065e-33,0.21664422939155217,6.79401399665504,3.601348631651697e-16,1.5604227981490054e-16,1.5604227981490054e-16,2.8098132544560163e-32,2.809813254456016e-34,100.0,2.8098132544560163e-32,-2.8098132544560163e-32,7.905194244547298e-18,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,8.120277222217153e-18,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,1,0.5,0.5,0.2814867017616454,0.028148670176164545,9.869604401089359e-20,8.193415449993744e-37,0.21664422939155217,6.79401399665504,9.723641305459582e-18,4.213141555002315e-18,4.213141555002315e-18,2.0483538624984362e-35,2.048353862498436e-37,100.0,2.0483538624984362e-35,-2.0483538624984362e-35,2.1344024460277705e-19,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,2.1924748499986316e-19,2.0958450219516817e-07,0.0020958450219516816
1,1000,100,10,1,2.5,2.5,1.407433508808227,0.1407433508808227,9.869604401089359e-14,2.048353862498436e-23,0.043328845878310436,15.191877136605695,1.087136147391621e-10,9.420870915814344e-12,9.420870915814344e-12,5.12088465624609e-22,5.12088465624609e-24,100.0,5.12088465624609e-22,-5.12088465624609e-22,4.77266896065992e-13,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,2.1924748499986315e-13,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,1,2.5,2.5,1.407433508808227,0.1407433508808227,3.655409037440504e-15,2.809813254456017e-26,0.043328845878310436,15.191877136605695,4.0264301755245225e-12,3.489211450301609e-13,3.489211450301609e-13,7.024533136140041e-25,7.024533136140042e-27,100.0,7.024533136140041e-25,-7.024533136140041e-25,1.767655170614785e-14,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,8.120277222217155e-15,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,1,2.5,2.5,1.407433508808227,0.1407433508808227,9.86960440108936e-17,2.0483538624984362e-29,0.043328845878310436,15.191877136605695,1.0871361473916212e-13,9.420870915814345e-15,9.420870915814345e-15,5.120884656246091e-28,5.1208846562460904e-30,100.0,5.120884656246091e-28,-5.120884656246091e-28,4.77266896065992e-16,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,2.1924748499986318e-16,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,1,2.5,2.5,1.407433508808227,0.1407433508808227,3.6554090374405034e-18,2.8098132544560163e-32,0.043328845878310436,15.191877136605695,4.0264301755245225e-15,3.4892114503016086e-16,3.4892114503016086e-16,7.02453313614004e-31,7.024533136140041e-33,100.0,7.02453313614004e-31,-7.02453313614004e-31,1.7676551706147848e-17,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,8.120277222217153e-18,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,1,2.5,2.5,1.407433508808227,0.1407433508808227,9.869604401089359e-20,2.048353862498436e-35,0.043328845878310436,15.191877136605695,1.0871361473916209e-16,9.420870915814344e-18,9.420870915814344e-18,5.120884656246089e-34,5.12088465624609e-36,100.0,5.120884656246089e-34,-5.120884656246089e-34,4.77266896065992e-19,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,2.1924748499986316e-19,2.0958450219516817e-07,0.0020958450219516816
