load_w,blackout_h,usable_specific_energy_wh_per_kg,energy_wh,storage_kg
5,3,100,15,0.15
5,3,150,15,0.1
5,70,100,350,3.5
5,70,150,350,2.3333333333333335
5,100,100,500,5.0
5,100,150,500,3.3333333333333335
5,354,100,1770,17.7
5,354,150,1770,11.8
50,3,100,150,1.5
50,3,150,150,1.0
50,70,100,3500,35.0
50,70,150,3500,23.333333333333332
50,100,100,5000,50.0
50,100,150,5000,33.333333333333336
50,354,100,17700,177.0
50,354,150,17700,118.0
100,3,100,300,3.0
100,3,150,300,2.0
100,70,100,7000,70.0
100,70,150,7000,46.666666666666664
100,100,100,10000,100.0
100,100,150,10000,66.66666666666667
100,354,100,35400,354.0
100,354,150,35400,236.0
500,3,100,1500,15.0
500,3,150,1500,10.0
500,70,100,35000,350.0
500,70,150,35000,233.33333333333334
500,100,100,50000,500.0
500,100,150,50000,333.3333333333333
500,354,100,177000,1770.0
500,354,150,177000,1180.0
