profile,n,f_re,f_im,Q,method
grimm_lf_preferred,1,11.651377406226251,-7.18012053044755,0.7814327698118186,impedance_Q=0.7814; spectral_FWHM_Q=0.8114; f_peak=11.651
grimm_lf_preferred,2,20.180777645743945,-11.814516885043375,0.6419940609257481,impedance_Q=0.642; spectral_FWHM_Q=0.8541; f_peak=20.181
grimm_lf_preferred,3,28.539929445846873,-15.828868432150369,0.45220843309699094,impedance_Q=0.4522; spectral_FWHM_Q=0.9015; f_peak=28.540
grimm_hf_envelope,1,11.651377406226251,-11.488192848716078,1.1112245437162358,impedance_Q=1.111; spectral_FWHM_Q=0.5071; f_peak=11.651
grimm_hf_envelope,2,20.180777645743945,-21.14176705744604,1.3164622033406548,impedance_Q=1.316; spectral_FWHM_Q=0.4773; f_peak=20.181
grimm_hf_envelope,3,28.539929445846873,-30.77835528473683,1.4697456591353066,impedance_Q=1.47; spectral_FWHM_Q=0.4636; f_peak=28.540
mittelholz_like,1,11.651377406226251,-7.898132583492306,1.0798741419373223,impedance_Q=1.08; spectral_FWHM_Q=0.7376; f_peak=11.651
mittelholz_like,2,20.180777645743945,-13.05815024136373,1.0784107938342193,impedance_Q=1.078; spectral_FWHM_Q=0.7727; f_peak=20.181
mittelholz_like,3,28.539929445846873,-17.587631591278186,0.9907260050547969,impedance_Q=0.9907; spectral_FWHM_Q=0.8114; f_peak=28.540
hood_upper_resistive,1,11.651377406226251,-7.18012053044755,0.4936833996871012,impedance_Q=0.4937; spectral_FWHM_Q=0.8114; f_peak=11.651
hood_upper_resistive,2,20.180777645743945,-11.192700206883195,0.3386130586355236,impedance_Q=0.3386; spectral_FWHM_Q=0.9015; f_peak=20.181
hood_upper_resistive,3,28.539929445846873,-14.070105273022548,0.19657037526827278,impedance_Q=0.1966; spectral_FWHM_Q=1.014; f_peak=28.540
farside_cold,1,11.651377406226251,-6.821114503925172,0.8284013264147401,impedance_Q=0.8284; spectral_FWHM_Q=0.8541; f_peak=11.651
farside_cold,2,20.180777645743945,-11.192700206883195,0.6615297293298533,impedance_Q=0.6615; spectral_FWHM_Q=0.9015; f_peak=20.181
farside_cold,3,28.539929445846873,-14.949486852586457,0.4310371763724679,impedance_Q=0.431; spectral_FWHM_Q=0.9545; f_peak=28.540
pkt,1,11.651377406226251,-8.257138610014682,0.9361669634913009,impedance_Q=0.9362; spectral_FWHM_Q=0.7055; f_peak=11.651
pkt,2,20.180777645743945,-13.679966919523906,0.9258057951580468,impedance_Q=0.9258; spectral_FWHM_Q=0.7376; f_peak=20.181
pkt,3,28.539929445846873,-19.346394750406002,0.8639346180899249,impedance_Q=0.8639; spectral_FWHM_Q=0.7376; f_peak=28.540
nearside_warm,1,11.651377406226251,-7.539126556969927,0.775582070305773,impedance_Q=0.7756; spectral_FWHM_Q=0.7727; f_peak=11.651
nearside_warm,2,20.180777645743945,-12.436333563203554,0.6936646946927915,impedance_Q=0.6937; spectral_FWHM_Q=0.8114; f_peak=20.181
nearside_warm,3,28.539929445846873,-16.708250011714277,0.5697477483790213,impedance_Q=0.5697; spectral_FWHM_Q=0.8541; f_peak=28.540
