path,f_hz,total_att_db,n_segments
global_90_1Hz,1.0,17.494487343965538,1
nearside_90_1Hz,1.0,33.966568720032654,1
farside_90_1Hz,1.0,11.275038783593724,1
mixed_NS_90_1Hz,1.0,22.620803751813188,2
through_PKT_90_1Hz,1.0,43.2892197849329,3
global_90_10Hz,10.0,55.32242650392068,1
nearside_90_10Hz,10.0,107.41172145593335,1
farside_90_10Hz,10.0,35.65480326289048,1
mixed_NS_90_10Hz,10.0,71.5332623594119,2
through_PKT_90_10Hz,10.0,136.8925326520123,3
global_90_30Hz,30.0,95.82125350278568,1
nearside_90_30Hz,30.0,186.04255889011264,1
farside_90_30Hz,30.0,61.7559307851989,1
mixed_NS_90_30Hz,30.0,123.89924483765577,2
through_PKT_90_30Hz,30.0,237.1048217300668,3
